Model,Transimission_Type,Year,CC,Usage Origin,Price
Subaru WRX S4,Automatic,2014,2000 CC,Kenyan Used,"KES 2,399,999"
Mercedes Benz C200,Automatic,2015,2000 CC,Kenyan Used,"KES 3,599,999"
Ford Ranger,Automatic,2016,2200 CC,Kenyan Used,"KES 4,299,999"
Mercedes Benz C200,Automatic,2007,1800 CC,Kenyan Used,"KES 949,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Kenyan Used,"KES 2,349,999"
Toyota Hiace,Automatic,2016,2700 CC,Kenyan Used,"KES 2,449,999"
Toyota Harrier,Automatic,2014,2000 CC,Kenyan Used,"KES 2,949,999"
Volkswagen Touareg,Automatic,2009,3000 CC,Kenyan Used,"KES 1,999,999"
Mercedes Benz C200,Automatic,2015,2000 CC,Kenyan Used,"KES 3,549,999"
Range Rover Vogue,Automatic,2013,4400 CC,Kenyan Used,"KES 6,999,999"
Mercedes Benz GLE,Automatic,2017,3000 CC,Foreign Used,"KES 9,999,999"
Honda Vezel,Automatic,2016,1500 CC,Kenyan Used,"KES 2,249,999"
Toyota Landcruiser Prado,Automatic,2017,2700 CC,Kenyan Used,"KES 4,999,999"
Mitsubishi Galant Fortis,Automatic,2012,2000 CC,Kenyan Used,"KES 1,049,999"
Subaru Impreza,Automatic,2015,1600 CC,Kenyan Used,"KES 1,449,999"
Range Rover Vogue,Automatic,2013,3000 CC,Kenyan Used,"KES 9,899,999"
Toyota Landcruiser Prado VX,Automatic,2015,3000 CC,Kenyan Used,"KES 6,299,999"
Mercedes Benz E250,Automatic,2011,1800 CC,Kenyan Used,"KES 2,499,999"
Mazda Demio,Automatic,2017,1500 CC,Foreign Used,"KES 1,429,999"
Honda Fit,Automatic,2008,1300 CC,Kenyan Used,"KES 579,000"
Mitsubishi Outlander,Automatic,2015,2000 CC,Kenyan Used,"KES 2,499,999"
BMW 520i,Automatic,2012,2000 CC,Kenyan Used,"KES 1,649,999"
Nissan NV100 Clipper,Automatic,2015,660 CC,Kenyan Used,"KES 599,999"
BMW 120i,Automatic,2012,2000 CC,Kenyan Used,"KES 999,999"
Volkswagen Passat CC,Automatic,2013,1800 CC,Kenyan Used,"KES 999,999"
Nissan Note E Power,Automatic,2017,1200 CC,Foreign Used,"KES 1,329,999"
Subaru Legacy,Automatic,2005,2000 CC,Kenyan Used,"KES 719,999"
Subaru Forester XT,Automatic,2013,2000 CC,Kenyan Used,"KES 2,499,999"
Mercedes Benz Viano,Automatic,2013,2143 CC,Kenyan Used,"KES 2,949,999"
Mazda CX5,Automatic,2013,2200 CC,Kenyan Used,"KES 1,599,999"
Mazda CX5,Automatic,2017,2200 CC,Foreign Used,"KES 3,599,999"
Peugeot 3008,Automatic,2017,1600 CC,Foreign Used,"KES 3,799,999"
Porsche Cayenne,Automatic,2009,3600 CC,Kenyan Used,"KES 1,899,999"
Landrover Discovery IV,Automatic,2013,3000 CC,Kenyan Used,"KES 4,499,999"
Subaru XV,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Mercedes Benz C300,Automatic,2019,2000 CC,Kenyan Used,"KES 4,499,999"
Mazda CX5,Automatic,2015,2000 CC,Kenyan Used,"KES 2,349,999"
Nissan Note,Automatic,2017,1200 CC,Foreign Used,"KES 1,269,999"
Honda Vezel,Automatic,2015,1500 CC,Kenyan Used,"KES 2,549,999"
Toyota Auris,Automatic,2012,1500 CC,Kenyan Used,"KES 829,999"
Jeep Grand Cherokee,Automatic,2012,3600 CC,Kenyan Used,"KES 3,299,999"
Nissan XTRAIL,Automatic,2015,2000 CC,Kenyan Used,"KES 2,199,999"
Toyota Harrier,Automatic,2017,2000 CC,Kenyan Used,"KES 3,949,999"
Toyota Hilux,Automatic,2008,3000 CC,Kenyan Used,"KES 1,199,999"
Subaru Impreza,Automatic,2001,1500 CC,Kenyan Used,"KES 499,999"
BMW 320i,Automatic,2015,2000 CC,Kenyan Used,"KES 2,249,999"
Range Rover Vogue,Automatic,2014,4400 CC,Foreign Used,"KES 9,449,999"
Nissan Tiida Latio,Automatic,2010,1500 CC,Kenyan Used,"KES 369,999"
Honda N ONE,Automatic,2017,660 CC,Foreign Used,"KES 879,999"
Mercedes Benz C180,Automatic,2007,1800 CC,Kenyan Used,"KES 829,999"
Toyota Ractis,Automatic,2015,1500 CC,Kenyan Used,"KES 1,299,999"
Suzuki Swift,Automatic,2012,1200 CC,Kenyan Used,"KES 729,999"
Audi Q5,Automatic,2018,2000 CC,Foreign Used,"KES 5,499,999"
Toyota Aqua,Automatic,2014,1500 CC,Kenyan Used,"KES 899,999"
Subaru Outback,Automatic,2015,2500 CC,Kenyan Used,"KES 2,699,999"
Audi A3,Automatic,2014,1800 CC,Kenyan Used,"KES 1,699,999"
