Model,Transimission_Type,Year,CC,Usage Origin,Price
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,029,999"
Mazda CX-5 2.2D,Automatic,2016,2200 CC,Kenyan Used,"KES 2,449,999"
Toyota Fielder Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,799,999"
Mercedes Benz C180 KOMPRESSOR,Automatic,2009,1600 CC,Kenyan Used,"KES 1,399,999"
Suzuki S Cross S×4,Automatic,2018,1600 CC,Foreign Used,"KES 2,399,999"
Mercedes Benz C200 CGI 'AVANTGARDE',Automatic,2010,1800 CC,Kenyan Used,"KES 1,599,999"
Toyota Landcruiser Prado TX-L GDJ150 / 7 SEATS / SUNROOF,Automatic,2018,2800 CC,Foreign Used,"KES 8,399,999"
Mazda CX-5 2.5L AWD,Automatic,2017,2500 CC,Foreign Used,"KES 3,449,999"
"Subaru Levorg 1.6L Turbo ""VM"" Advanced Package",Automatic,2016,1600 CC,Foreign Used,"KES 2,149,999"
Mercedes Benz C200 / PANORAMIC SUNROOF,Automatic,2016,2000 CC,Kenyan Used,"KES 4,549,999"
Volkswagen Passat 1.4 TSI,Automatic,2011,1400 CC,Kenyan Used,"KES 1,349,999"
Toyota Noah,Automatic,2016,2000 CC,Foreign Used,"KES 2,549,999"
Volkswagen Golf Variant 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 2,099,999"
Toyota Harrier / MODELLISTA Bodykit,Automatic,2015,2000 CC,Kenyan Used,"KES 3,199,999"
Mazda Atenza 2.5L,Automatic,2016,2500 CC,Foreign Used,"KES 2,249,999"
Mazda CX-5 2.2D AWD,Automatic,2017,2200 CC,Foreign Used,"KES 3,649,999"
Nissan Note,Automatic,2014,1200 CC,Kenyan Used,"KES 859,999"
Nissan Serena,Automatic,2016,2000 CC,Foreign Used,"KES 1,679,999"
Nissan Latio,Automatic,2015,1200 CC,Kenyan Used,"KES 999,999"
Mazda CX-3 1.5D,Automatic,2016,1500 CC,Kenyan Used,"KES 1,869,999"
Toyota Harrier,Automatic,2007,2400 CC,Kenyan Used,"KES 1,349,999"
Toyota Harrier,Automatic,2009,2400 CC,Kenyan Used,"KES 1,549,999"
Mazda CX-5 2.2D,Automatic,2017,2200 CC,Foreign Used,"KES 3,499,999"
Audi Q5 2.0T QUATTRO S-LINE,Automatic,2016,2000 CC,Foreign Used,"KES 4,299,999"
Suzuki Alto,Automatic,2015,660 CC,Kenyan Used,"KES 529,999"
"BMW X1 SDrive18i M- Sport ""F48"" / PANORAMIC SUNROOF",Automatic,2016,1500 CC,Foreign Used,"KES 3,549,999"
Toyota Vitz,Automatic,2010,1300 CC,Kenyan Used,"KES 619,999"
Nissan Note DIG-S,Automatic,2013,1200 CC,Kenyan Used,"KES 765,000"
Mazda Bongo,Automatic,2010,1500 CC,Kenyan Used,"KES 564,999"
Mercedes Benz ML350,Automatic,2007,3500 CC,Kenyan Used,"KES 1,799,999"
Volkswagen Golf TSI 1.4L,Automatic,2015,1400 CC,Kenyan Used,"KES 1,649,999"
Mazda CX-5 2.2D/SUNROOF,Automatic,2016,2200 CC,Foreign Used,"KES 2,799,999"
Nissan Primera,Manual,2001,1600 CC,Kenyan Used,"KES 299,999"
Toyota Rumion 1.8S,Automatic,2010,1800 CC,Kenyan Used,"KES 919,999"
Toyota Crown 3.5L V6 Hybrid,Automatic,2012,3500 CC,Kenyan Used,"KES 1,649,999"
Ford Ranger 'Wildtrak' 3.2L,Automatic,2017,3200 CC,Foreign Used,"KES 5,999,999"
Range Rover Velar 2.0L D240,Automatic,2018,2000 CC,Foreign Used,"KES 11,499,999"
Ford Ranger 'Wildtrak' 3.2L,Automatic,2015,3200 CC,Kenyan Used,"KES 3,599,999"
Subaru Legacy B4 2.5i Limited,Automatic,2016,2500 CC,Foreign Used,"KES 2,249,999"
Subaru Legacy,Automatic,2012,2500 CC,Kenyan Used,"KES 1,249,999"
Nissan Serena,Automatic,2014,2000 CC,Kenyan Used,"KES 1,249,999"
Mercedes Benz E220d /SUNROOF,Automatic,2016,2100 CC,Foreign Used,"KES 5,699,999"
Subaru Forester 2.0 NA,Automatic,2016,2000 CC,Foreign Used,"KES 2,849,999"
Landrover Discovery IV 'LANDMARK'/ 3-ZONE SUNROOF,Automatic,2016,3000 CC,Foreign Used,"KES 7,499,999"
Nissan Datsun 2.7L,Manual,1994,2700 CC,Kenyan Used,"KES 699,999"
Subaru Outback 2.5L/SUNROOF,Automatic,2010,2500 CC,Kenyan Used,"KES 1,089,999"
"Subaru Outback ""L.L. BEAN EDITION""",Automatic,2006,2500 CC,Kenyan Used,"KES 865,000"
Nissan XTRAIL,Automatic,2016,2000 CC,Kenyan Used,"KES 2,399,999"
Toyota Axio 1.5L,Automatic,2016,1500 CC,Foreign Used,"KES 1,799,999"
BMW X3 M-SPORT XDrive20d  / PANORAMIC SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 4,649,999"
Audi Q5 2.0T QUATTRO /SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 4,849,999"
Mazda Axela,Automatic,2016,2200 CC,Foreign Used,"KES 2,049,999"
Audi Q3,Automatic,2016,1400 CC,Foreign Used,"KES 3,449,999"
Toyota Auris,Automatic,2016,1200 CC,Foreign Used,"KES 1,899,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,549,999"
Mercedes Benz GLC 250 4 MATIC AMG-LINE,Automatic,2017,2000 CC,Foreign Used,"KES 4,999,999"
Nissan DAYZ,Automatic,2016,660 CC,Foreign Used,"KES 779,999"
Mazda Demio 1.5L,Automatic,2016,1500 CC,Foreign Used,"KES 1,349,999"
Toyota Landcruiser Prado TX,Automatic,2012,2700 CC,Kenyan Used,"KES 2,749,999"
Nissan March,Automatic,2012,1200 CC,Kenyan Used,"KES 369,999"
Toyota Harrier/PANORAMIC SUNROOF,Automatic,2015,2000 CC,Foreign Used,"KES 3,299,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,099,999"
Volkswagen Golf Variant 1.2L,Automatic,2016,1200 CC,Foreign Used,"KES 1,999,999"
Audi SQ5 3.0T V6 QUATTRO/PANORAMIC SUNROOF,Automatic,2016,3000 CC,Kenyan Used,"KES 5,199,999"
BMW X3 XDrive 20d,Automatic,2016,2000 CC,Kenyan Used,"KES 4,199,999"
RANGE ROVER SPORT 3.0L SUPERCHARGED V6 / SUNROOF,Automatic,2015,3000 CC,Kenyan Used,"KES 8,499,999"
Mercedes Benz C200,Automatic,2012,1800 CC,Kenyan Used,"KES 2,099,999"
Audi A4 2.0L Avant,Automatic,2015,2000 CC,Kenyan Used,"KES 2,349,999"
Toyota Esquire / Hybrid,Automatic,2016,1800 CC,Foreign Used,"KES 2,649,999"
Suzuki Alto,Automatic,2015,660 CC,Kenyan Used,"KES 739,999"
Subaru Outback / MANUAL Transmission,Manual,2008,2500 CC,Kenyan Used,"KES 870,000"
Mitsubishi Outlander/ 7 Seater,Automatic,2016,2400 CC,Foreign Used,"KES 3,449,999"
Porsche Cayenne 3.6 V6 'Typ 92A',Automatic,2016,3600 CC,Kenyan Used,"KES 6,599,999"
Honda CRV AWD,Automatic,2012,2400 CC,Kenyan Used,"KES 1,849,999"
Toyota Agya 1.0L,Automatic,2019,1000 CC,Kenyan Used,"KES 1,099,999"
Subaru Forester 2.0 NA,Automatic,2014,2000 CC,Kenyan Used,"KES 2,599,999"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 2,049,999"
Toyota Landcruiser 'VX' UZJ100 / 7 SEATS / SUNROOF,Automatic,2000,4700 CC,Kenyan Used,"KES 2,349,999"
Subaru Legacy 2.5L NA,Automatic,2012,2500 CC,Kenyan Used,"KES 1,299,999"
Nissan Skyline 200GT-t,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Toyota Passo,Automatic,2013,1000 CC,Kenyan Used,"KES 649,999"
Volvo XC90 T5 AWD / PANORAMIC SUNROOF,Automatic,2017,2000 CC,Foreign Used,"KES 7,199,999"
Toyota Crown Hybrid,Automatic,2013,2500 CC,Kenyan Used,"KES 1,499,999"
Audi Q7 S-Line 3.0TDI QUATTRO/PANO SUNROOF/AIR SUSPENSION,Automatic,2007,3000 CC,Kenyan Used,"KES 1,949,999"
Toyota Quest 1.6L,Automatic,2015,1600 CC,Kenyan Used,"KES 1,149,999"
Toyota Vitz 1.3L,Automatic,2011,1300 CC,Kenyan Used,"KES 629,999"
Nissan XTRAIL Hybrid / 7 SEATS / PANORAMIC Sunroof,Automatic,2016,2000 CC,Foreign Used,"KES 2,999,999"
Audi A3 2.0L FSI,Automatic,2006,2000 CC,Kenyan Used,"KES 649,999"
BMW M135i 3.0L 'N55B30'/STAGE ONE TUNE,Automatic,2015,3000 CC,Kenyan Used,"KES 4,149,999"
Volvo XC60 D4/SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 4,189,999"
RANGE ROVER SPORT 3.0L SUPERCHARGED V6,Automatic,2016,3000 CC,Foreign Used,"KES 9,499,999"
Toyota Caldina,Automatic,2007,2000 CC,Kenyan Used,"KES 719,999"
Mazda Demio 1.3L,Manual,2010,1300 CC,Kenyan Used,"KES 565,000"
Toyota Fortuner,Manual,2016,2800 CC,Kenyan Used,"KES 5,949,999"
"Toyota Landcruiser V8 ""ZX"" /SUNROOF",Automatic,2010,4600 CC,Kenyan Used,"KES 4,699,999"
Mazda CX-3 1.5D AWD,Automatic,2016,1500 CC,Kenyan Used,"KES 1,729,999"
Toyota Landcruiser Prado TX GDJ150 / SUNROOF,Automatic,2017,2800 CC,Kenyan Used,"KES 7,599,999"
Toyota Hilux D CAB,Manual,2018,2500 CC,Kenyan Used,"KES 3,999,999"
Nissan XTRAIL,Automatic,2006,2000 CC,Kenyan Used,"KES 499,999"
Toyota Fielder Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,529,999"
Toyota Probox,Automatic,2015,1500 CC,Kenyan Used,"KES 989,999"
Subaru Outback,Automatic,2004,2500 CC,Kenyan Used,"KES 849,999"
Nissan Note Medalist,Automatic,2013,1200 CC,Kenyan Used,"KES 859,999"
Toyota Toyoace 3.0L,Manual,2001,3000 CC,Kenyan Used,"KES 749,999"
Volkswagen Golf TSI 1.4L Variant,Automatic,2015,1400 CC,Kenyan Used,"KES 1,779,999"
Subaru Impreza G4,Automatic,2015,2000 CC,Foreign Used,"KES 1,999,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 1,949,999"
Nissan XTRAIL /Hybrid,Automatic,2016,2000 CC,Foreign Used,"KES 2,589,999"
Landrover Discovery IV 'LANDMARK'/ 3-ZONE SUNROOF,Automatic,2016,3000 CC,Kenyan Used,"KES 7,299,999"
Mitsubishi eK Wagon,Automatic,2015,660 CC,Kenyan Used,"KES 819,999"
Toyota Hiace 2.7L,Automatic,2010,2700 CC,Kenyan Used,"KES 1,249,999"
"Mercedes Benz C200 ""W205""",Automatic,2016,2000 CC,Foreign Used,"KES 3,999,999"
Mercedes Benz E300/SUNROOF,Automatic,2010,3000 CC,Kenyan Used,"KES 2,249,999"
Audi A5,Automatic,2016,2000 CC,Foreign Used,"KES 3,599,999"
Mitsubishi Galant Fortis Sportback,Automatic,2014,2000 CC,Kenyan Used,"KES 1,469,999"
BMW 235i/STAGE II TUNE,Automatic,2014,3000 CC,Kenyan Used,"KES 3,649,999"
Suzuki Wagon R,Automatic,2016,660 CC,Foreign Used,"KES 879,999"
Nissan XTRAIL,Automatic,2015,2000 CC,Kenyan Used,"KES 2,049,999"
"Mitsubishi ASX "" also RVR""",Automatic,2018,2000 CC,Kenyan Used,"KES 1,669,999"
BMW 525i,Automatic,2005,2500 CC,Kenyan Used,"KES 1,399,999"
Mercedes Benz GLE 450h 4MATIC,Automatic,2019,3000 CC,Foreign Used,"KES 14,999,999"
Porsche Macan S,Automatic,2017,3000 CC,Foreign Used,"KES 5,899,999"
Audi A4 2.0L S-LINE,Automatic,2016,2000 CC,Foreign Used,"KES 2,749,999"
Mazda Demio,Automatic,2012,1300 CC,Kenyan Used,"KES 729,999"
Nissan Note Nismo S,Manual,2015,1600 CC,Foreign Used,"KES 1,449,999"
Toyota Vitz RS 1.5L,Automatic,2008,1500 CC,Kenyan Used,"KES 679,999"
Mercedes Benz GLC 250 4 MATIC,Automatic,2016,2000 CC,Foreign Used,"KES 5,799,999"
Toyota Landcruiser Prado TX/SUNROOF,Automatic,2015,2700 CC,Kenyan Used,"KES 3,949,999"
Toyota Vanguard,Automatic,2012,2400 CC,Kenyan Used,"KES 1,899,999"
Subaru Levorg,Automatic,2016,1600 CC,Kenyan Used,"KES 1,899,999"
Mercedes Benz C200/SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 4,599,999"
Toyota Hilux D CAB,Manual,2010,2500 CC,Kenyan Used,"KES 2,099,999"
Lexus GS350,Automatic,2010,3500 CC,Kenyan Used,"KES 1,299,999"
FAW Fighter,Automatic,2014,3200 CC,Kenyan Used,"KES 1,549,999"
Porsche Cayenne 3.6 V6,Automatic,2012,3600 CC,Kenyan Used,"KES 3,799,999"
Toyota Porte,Automatic,2016,1300 CC,Foreign Used,"KES 1,099,999"
Toyota Harrier,Automatic,2007,2400 CC,Kenyan Used,"KES 1,369,999"
Volkswagen Touareg 3.6 V6,Automatic,2008,3600 CC,Kenyan Used,"KES 1,919,999"
Mazda CX-5 2.2D AWD,Automatic,2015,2200 CC,Kenyan Used,"KES 1,999,999"
Toyota Allion 1.8L,Automatic,2007,1800 CC,Kenyan Used,"KES 629,999"
"Audi A6 2.0L TFSI  ""C7.5""",Automatic,2015,2000 CC,Kenyan Used,"KES 3,249,999"
Mazda Axela,Automatic,2015,1500 CC,Kenyan Used,"KES 1,849,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,599,999"
Subaru Impreza G4,Automatic,2014,2000 CC,Kenyan Used,"KES 1,449,999"
Volkswagen Golf TSI 1.4L,Automatic,2016,1400 CC,Foreign Used,"KES 1,999,999"
Lexus RX300,Automatic,2004,3000 CC,Kenyan Used,"KES 919,999"
Honda Fit Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,489,999"
Chevrolet Aveo,Automatic,2002,1200 CC,Kenyan Used,"KES 489,999"
"Porsche Cayenne GTS ""Type 92A""",Automatic,2015,3600 CC,Foreign Used,"KES 8,899,999"
Toyota Harrier,Automatic,2015,2000 CC,Kenyan Used,"KES 3,199,999"
Volkswagen Polo GTI,Automatic,2016,1800 CC,Foreign Used,"KES 2,549,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,449,999"
Nissan XTRAIL Hybrid,Automatic,2016,2000 CC,Foreign Used,"KES 2,599,999"
Mitsubishi Pajero,Automatic,2009,3000 CC,Kenyan Used,"KES 1,749,999"
Toyota Sai Hybrid,Automatic,2015,2400 CC,Kenyan Used,"KES 1,149,999"
Toyota Axio,Automatic,2016,1500 CC,Kenyan Used,"KES 1,649,999"
Nissan Teana,Automatic,2006,2300 CC,Kenyan Used,"KES 599,999"
Volkswagen Jetta GTI,Automatic,2008,2000 CC,Kenyan Used,"KES 699,999"
Toyota Esquire,Automatic,2016,2000 CC,Foreign Used,"KES 2,549,999"
"BMW 523i 2.0L N20B20 ""F10""",Automatic,2011,2000 CC,Kenyan Used,"KES 1,999,999"
"BMW 320i Touring 2.0L N46NB20 ""E91""",Automatic,2010,2000 CC,Kenyan Used,"KES 1,149,999"
Mitsubishi Canter FE 84,Automatic,2016,4200 CC,Kenyan Used,"KES 2,499,999"
Toyota Vanguard,Automatic,2013,2400 CC,Kenyan Used,"KES 1,749,999"
Alfa Romeo Giulietta Sportiva,Automatic,2016,1400 CC,Foreign Used,"KES 1,799,999"
Subaru Legacy 2.0L,Automatic,2005,2000 CC,Kenyan Used,"KES 899,999"
Subaru Outback,Automatic,2010,2500 CC,Kenyan Used,"KES 1,349,999"
Audi Q5 2.0T S-LINE QUATTRO,Automatic,2014,2000 CC,Kenyan Used,"KES 3,399,999"
Toyota Avensis,Automatic,2015,1800 CC,Foreign Used,"KES 1,799,999"
Subaru Outback 2.5L,Automatic,2015,2500 CC,Foreign Used,"KES 2,699,999"
Daihatsu Mira,Automatic,2016,660 CC,Foreign Used,"KES 839,999"
SUBARU WRX S4,Automatic,2015,2000 CC,Kenyan Used,"KES 2,199,999"
Toyota Allion 1.8L,Automatic,2013,1800 CC,Kenyan Used,"KES 1,599,999"
"Renault Lutecia RS ""IV"" Trophy",Automatic,2016,1600 CC,Foreign Used,"KES 1,699,999"
Isuzu Dmax D CAB 2.5D,Automatic,2020,2500 CC,Kenyan Used,"KES 4,249,999"
Toyota Landcruiser Prado TX,Automatic,2019,2700 CC,Kenyan Used,"KES 6,299,999"
"Toyota Hiace ""1KD"" 3.0L",Automatic,2010,3000 CC,Kenyan Used,"KES 1,599,999"
"Audi A4 ALLROAD ""B8""",Automatic,2015,2000 CC,Kenyan Used,"KES 3,449,999"
Volkswagen Sharan Typ 7N,Automatic,2015,1400 CC,Kenyan Used,"KES 1,799,999"
Subaru Outback 2.5L/SUNROOF,Automatic,2016,2500 CC,Foreign Used,"KES 3,399,999"
Nissan Sunny Truck B120,Manual,1995,1500 CC,Kenyan Used,"KES 219,999"
"Landcruiser Prado J120 ""1KD""/SUNROOF",Automatic,2007,3000 CC,Kenyan Used,"KES 1,999,999"
Mazda CX-5 2.5L,Automatic,2016,2500 CC,Foreign Used,"KES 3,249,999"
Mitsubishi Galant Fortis,Automatic,2008,2000 CC,Kenyan Used,"KES 999,999"
Nissan Juke,Automatic,2015,1500 CC,Kenyan Used,"KES 1,349,999"
Toyota Hiace,Automatic,2014,2700 CC,Kenyan Used,"KES 2,399,999"
Toyota Isis,Automatic,2012,1800 CC,Kenyan Used,"KES 879,999"
Volkswagen Touareg 3.6 FSI,Automatic,2012,3600 CC,Kenyan Used,"KES 2,749,999"
Nissan Sunny B15,Automatic,2004,1500 CC,Kenyan Used,"KES 349,999"
Mazda CX-5 2.2D AWD,Automatic,2014,2200 CC,Kenyan Used,"KES 2,399,999"
Mitsubishi Outlander,Automatic,2010,2400 CC,Kenyan Used,"KES 1,549,999"
Peugeot Boxer Van,Manual,2015,2200 CC,Kenyan Used,"KES 2,499,999"
Hino Dutro 4.0L/REFRIGERATED,Manual,2014,4000 CC,Kenyan Used,"KES 2,749,999"
Range Rover Sport 3.0 SDV6 HSE,Automatic,2017,3000 CC,Foreign Used,"KES 8,999,999"
Nissan Juke,Automatic,2016,1500 CC,Foreign Used,"KES 1,649,999"
Subaru Forester 2.0 NA,Automatic,2016,2000 CC,Foreign Used,"KES 3,299,999"
Nissan Note,Automatic,2016,1200 CC,Kenyan Used,"KES 1,149,999"
"Audi A6 2.0L TFSI QUATTRO ""C7.5""",Automatic,2016,2000 CC,Foreign Used,"KES 3,749,999"
Subaru Forester,Automatic,2016,2000 CC,Foreign Used,"KES 3,299,999"
Toyota Ractis,Automatic,2008,1500 CC,Kenyan Used,"KES 849,999"
Toyota Harrier,Automatic,2014,2000 CC,Kenyan Used,"KES 2,899,999"
Mercedes Benz C200,Automatic,2015,2000 CC,Kenyan Used,"KES 3,249,999"
Subaru Legacy,Automatic,2009,2500 CC,Kenyan Used,"KES 1,169,999"
Mercedes Benz E250,Automatic,2014,2000 CC,Kenyan Used,"KES 3,099,999"
Nissan XTRAIL,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
Toyota Allion 1.8L,Automatic,2007,1800 CC,Kenyan Used,"KES 749,999"
Daihatsu Mira,Automatic,2016,660 CC,Foreign Used,"KES 890,000"
"Volvo XC60 T5 ""Inscription"" AWD",Automatic,2018,2000 CC,Foreign Used,"KES 5,649,999"
Toyota Hilux D CAB,Automatic,2008,3000 CC,Kenyan Used,"KES 2,049,999"
Ford Ranger 3.2L(Raptor Kitted),Automatic,2019,3200 CC,Foreign Used,"KES 7,799,999"
Landrover Defender 110,Manual,2010,2500 CC,Kenyan Used,"KES 4,199,999"
"Audi Q5 2.0T QUATTRO ""Typ 80A""",Automatic,2017,2000 CC,Foreign Used,"KES 5,349,999"
Toyota Succeed,Automatic,2016,1500 CC,Foreign Used,"KES 1,349,999"
Mazda Demio,Automatic,2016,1300 CC,Foreign Used,"KES 1,349,999"
Audi A6 2.0L TFSI,Automatic,2012,2000 CC,Kenyan Used,"KES 2,049,999"
Peugeot 2008,Automatic,2017,1200 CC,Foreign Used,"KES 1,879,999"
Subaru Impreza AWD,Automatic,2016,1600 CC,Kenyan Used,"KES 1,779,999"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 1,849,999"
Honda Fit Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,569,999"
Mitsubishi Fuso F1,Automatic,2018,4000 CC,Kenyan Used,"KES 3,899,999"
Peugeot 208,Automatic,2017,1200 CC,Foreign Used,"KES 1,299,999"
Audi Q5,Automatic,2016,2000 CC,Foreign Used,"KES 4,399,999"
Audi Q7 3.0TDI,Automatic,2007,3000 CC,Kenyan Used,"KES 1,799,999"
Isuzu NQR 5.0L,Manual,2020,5000 CC,Kenyan Used,"KES 3,849,999"
Suzuki Solio,Automatic,2011,1242 CC,Kenyan Used,"KES 619,999"
Volkswagen Passat TSI,Automatic,2016,2000 CC,Foreign Used,"KES 2,499,999"
"Toyota Fielder ""S""",Automatic,2016,1800 CC,Foreign Used,"KES 2,149,999"
Mitsubishi Galant Fortis Sportback  2.0 Ralliart,Automatic,2014,2000 CC,Kenyan Used,"KES 1,449,999"
Mercedes Benz GLC 250 4 MATIC,Automatic,2016,2000 CC,Foreign Used,"KES 5,999,999"
"Audi Q5 2.0T S-LINE QUATTRO ""Typ 8R""",Automatic,2016,2000 CC,Foreign Used,"KES 4,499,999"
Audi A5 2.0T QUATTRO S-Line,Automatic,2016,2000 CC,Foreign Used,"KES 3,649,999"
Toyota Vitz,Automatic,2015,1300 CC,Kenyan Used,"KES 1,050,000"
Volvo XC60 D4/SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 3,849,999"
Toyota Hiace 2.7L,Automatic,2012,2700 CC,Kenyan Used,"KES 1,479,999"
Volvo S60 T3,Automatic,2017,1600 CC,Foreign Used,"KES 2,479,999"
Toyota Vanguard,Automatic,2010,2400 CC,Kenyan Used,"KES 1,629,999"
Nissan Latio,Automatic,2014,1500 CC,Kenyan Used,"KES 869,000"
Landrover Discovery IV/ SUNROOF,Automatic,2016,3000 CC,Foreign Used,"KES 7,199,999"
"Toyota Landcruiser ""ZX""",Automatic,2011,4600 CC,Kenyan Used,"KES 5,849,999"
Audi Q3 2.0L Quattro,Automatic,2016,2000 CC,Foreign Used,"KES 3,799,999"
Toyota Mark X G's,Automatic,2016,2500 CC,Foreign Used,"KES 3,299,999"
Mazda Verisa,Automatic,2008,1500 CC,Kenyan Used,"KES 665,000"
Audi A6 2.0L TFSI,Automatic,2012,2000 CC,Kenyan Used,"KES 2,249,999"
Mercedes Benz GLC 250 4 MATIC /SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 5,999,999"
SUBARU WRX S4,Automatic,2014,2000 CC,Kenyan Used,"KES 1,949,999"
Audi A4 2.0L,Automatic,2013,2000 CC,Kenyan Used,"KES 2,249,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,549,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,549,999"
Mazda CX-5 2.2D,Automatic,2017,2200 CC,Foreign Used,"KES 3,249,999"
Subaru Outback 'EyeSight Package 2.5',Automatic,2016,2500 CC,Foreign Used,"KES 3,349,999"
Volvo V60 T3,Automatic,2018,1600 CC,Foreign Used,"KES 2,499,999"
Mazda CX-5 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,849,999"
Mazda Axela 1.5L,Automatic,2016,1500 CC,Foreign Used,"KES 1,949,999"
Nissan DAYZ,Automatic,2016,660 CC,Foreign Used,"KES 819,999"
"Toyota Landcruiser VX 4.5L ""V8"" AT",Automatic,2008,4500 CC,Kenyan Used,"KES 8,199,999"
"Toyota Landcruiser Prado J120 ""1KD""",Automatic,2005,3000 CC,Kenyan Used,"KES 2,349,999"
Lexus RX300,Automatic,2003,3000 CC,Kenyan Used,"KES 950,000"
Mazda CX-5 2.2D,Automatic,2014,2200 CC,Kenyan Used,"KES 1,980,000"
"Audi Q5 2.0T QUATTRO ""Typ 8R""",Automatic,2016,2000 CC,Foreign Used,"KES 4,499,999"
Peugeot 3008 GT-Line,Automatic,2017,1600 CC,Foreign Used,"KES 3,849,999"
Mazda CX-5 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,849,999"
Audi Q5 2.0T S-LINE QUATTRO,Automatic,2016,2000 CC,Foreign Used,"KES 4,499,999"
Mercedes Benz C180,Automatic,2017,1600 CC,Kenyan Used,"KES 3,699,999"
Nissan March,Automatic,2016,1200 CC,Foreign Used,"KES 965,000"
Mazda 6/Manual T/ European Spec,Manual,2013,1800 CC,Kenyan Used,"KES 1,149,999"
Nissan Note,Automatic,2016,1200 CC,Foreign Used,"KES 1,190,000"
"BMW 535i ""F10""",Automatic,2011,3000 CC,Kenyan Used,"KES 1,949,999"
Nissan March,Automatic,2015,1200 CC,Foreign Used,"KES 865,000"
Toyota Axio,Automatic,2016,1500 CC,Foreign Used,"KES 1,639,999"
Toyota Vitz,Automatic,2016,1300 CC,Foreign Used,"KES 1,259,999"
Toyota Premio,Automatic,2016,1800 CC,Foreign Used,"KES 2,349,999"
Toyota Succeed,Automatic,2016,1500 CC,Foreign Used,"KES 1,269,999"
Toyota Harrier/PANORAMIC SUNROOF,Automatic,2016,2000 CC,Foreign Used,"KES 3,749,999"
Subaru Forester 2.0 NA,Automatic,2011,2000 CC,Kenyan Used,"KES 1,529,999"
Porsche Cayenne Platinum Edition,Automatic,2014,3600 CC,Kenyan Used,"KES 4,149,999"
Toyota Fielder,Automatic,2015,1500 CC,Kenyan Used,"KES 1,335,000"
Peugeot 308,Automatic,2016,1200 CC,Foreign Used,"KES 1,849,999"
LEXUS IS300h,Automatic,2017,2500 CC,Foreign Used,"KES 3,599,999"
Toyota Passo,Automatic,2016,1000 CC,Foreign Used,"KES 1,149,999"
SUBARU IMPREZA WRX STI/STAGE ONE TUNE,Automatic,2010,2000 CC,Kenyan Used,"KES 1,749,999"
Mazda Axela,Automatic,2016,1500 CC,Foreign Used,"KES 2,099,999"
Audi SQ5/PANORAMIC SUNROOF,Automatic,2017,3000 CC,Foreign Used,"KES 5,599,999"
Mercedes Benz GLE 350d Coupe,Automatic,2017,3000 CC,Foreign Used,"KES 10,799,999"
Mercedes Benz E250,Automatic,2014,2000 CC,Kenyan Used,"KES 3,299,999"
Lexus RX450H,Automatic,2012,3500 CC,Kenyan Used,"KES 4,499,999"
Daihatsu Move,Automatic,2016,650 CC,Foreign Used,"KES 839,999"
Honda Fit,Automatic,2015,1300 CC,Kenyan Used,"KES 1,449,999"
Subaru Outback EyeSight Package 2.5,Automatic,2016,2500 CC,Foreign Used,"KES 2,999,999"
Ford Ranger,Manual,2011,2500 CC,Kenyan Used,"KES 1,199,999"
Passo Moda,Automatic,2016,1000 CC,Foreign Used,"KES 1,279,999"
Honda Fit Shuttle Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 1,549,999"
Toyota Sienta,Automatic,2016,1500 CC,Foreign Used,"KES 1,499,999"
Honda Vezel Hybrid,Automatic,2016,1500 CC,Foreign Used,"KES 2,599,999"
"Jeep Grand Cherokee ""LAREDO""",Automatic,2016,3600 CC,Foreign Used,"KES 5,549,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,199,999"
Mazda Atenza 2.2D,Automatic,2016,2200 CC,Foreign Used,"KES 2,099,999"
