Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Porsche Macan S,Porsche,Macan S,Automatic,3000.0,2015,9,Kenyan Used,4849999.0,3M-5M
Subaru Forester Xt,Subaru,Forester Xt,Automatic,2000.0,2016,8,Kenyan Used,2549999.0,2M-3M
Volkswagen Golf Tsi,Volkswagen,Golf Tsi,Automatic,1400.0,2017,7,Foreign Used,2449999.0,2M-3M
Volkswagen Golf Tsi,Volkswagen,Golf Tsi,Automatic,1200.0,2014,10,Kenyan Used,1449999.0,1M-2M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,2000.0,2015,9,Kenyan Used,3299999.0,3M-5M
Bmw 523I,Bmw,523I,Automatic,2000.0,2013,11,Kenyan Used,1599999.0,1M-2M
Toyota Fortuner,Toyota,Fortuner,Automatic,2800.0,2017,7,Foreign Used,6799999.0,5M-10M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,2000.0,2016,8,Kenyan Used,3499999.0,3M-5M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2012,12,Kenyan Used,2199999.0,2M-3M
Suzuki Escudo,Suzuki,Escudo,Automatic,1600.0,2016,8,Foreign Used,2349999.0,2M-3M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2013,11,Kenyan Used,1549999.0,1M-2M
Mazda Demio,Mazda,Demio,Automatic,1300.0,2016,8,Foreign Used,1299999.0,1M-2M
Bmw 320I,Bmw,320I,Manual,2000.0,2005,19,Kenyan Used,749999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2015,9,Kenyan Used,879999.0,500k-1M
Volkswagen Touareg,Volkswagen,Touareg,Automatic,3600.0,2013,11,Kenyan Used,4249999.0,3M-5M
Mazda Premacy,Mazda,Premacy,Automatic,2000.0,2014,10,Kenyan Used,1049999.0,1M-2M
Suzuki Jimny,Suzuki,Jimny,Automatic,1500.0,2019,5,Foreign Used,3599999.0,3M-5M
Volvo Xc90,Volvo,Xc90,Automatic,3200.0,2008,16,Kenyan Used,1649999.0,1M-2M
Peugeot 206,Peugeot,206,Manual,1600.0,2006,18,Kenyan Used,385000.0,0-500k
Jaguar F Pace,Jaguar,F Pace,Automatic,2000.0,2018,6,Foreign Used,6999999.0,5M-10M
Toyota Hiace,Toyota,Hiace,Automatic,3000.0,2017,7,Kenyan Used,3499999.0,3M-5M
Mazda Cx5,Mazda,Cx5,Automatic,2200.0,2018,6,Foreign Used,3449999.0,3M-5M
Toyota Sienta,Toyota,Sienta,Automatic,1500.0,2017,7,Kenyan Used,1699999.0,1M-2M
Range Rover Vogue,Range Rover,Vogue,Automatic,3000.0,2016,8,Foreign Used,9999999.0,5M-10M
Bmw X6,Bmw,X6,Automatic,3000.0,2017,7,Kenyan Used,7099999.0,5M-10M
Porsche Cayenne,Porsche,Cayenne,Automatic,3600.0,2009,15,Kenyan Used,2199999.0,2M-3M
Nissan Sunny,Nissan,Sunny,Automatic,1500.0,1997,27,Kenyan Used,299999.0,0-500k
Audi Q5,Audi,Q5,Automatic,2000.0,2017,7,Foreign Used,5499999.0,5M-10M
Mercedes Benz Glc 250,Mercedes Benz,Glc 250,Automatic,2000.0,2016,8,Foreign Used,4949999.0,3M-5M
Audi A3,Audi,A3,Automatic,1400.0,2017,7,Foreign Used,2399999.0,2M-3M
Nissan Nv 250,Nissan,Nv 250,Automatic,1600.0,2014,10,Kenyan Used,989999.0,500k-1M
Nissan Skyline,Nissan,Skyline,Automatic,2000.0,2016,8,Foreign Used,2349999.0,2M-3M
Porsche Cayenne,Porsche,Cayenne,Automatic,3000.0,2016,8,Foreign Used,8499999.0,5M-10M
Toyota Voxy,Toyota,Voxy,Automatic,2000.0,2011,13,Kenyan Used,1229999.0,1M-2M
Toyota Axio,Toyota,Axio,Automatic,1500.0,2014,10,Kenyan Used,1249999.0,1M-2M
Toyota Isis,Toyota,Isis,Automatic,1800.0,2012,12,Kenyan Used,969999.0,500k-1M
Nissan Juke,Nissan,Juke,Automatic,1500.0,2015,9,Kenyan Used,1449999.0,1M-2M
Volvo V40,Volvo,V40,Automatic,1600.0,2014,10,Kenyan Used,1349999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2008,16,Kenyan Used,1349999.0,1M-2M
Volvo S60,Volvo,S60,Automatic,2000.0,2018,6,Foreign Used,2499999.0,2M-3M
Audi Sq5,Audi,Sq5,Automatic,3000.0,2020,4,Foreign Used,8199999.0,5M-10M
Lexus Rx300,Lexus,Rx300,Automatic,3000.0,2006,18,Kenyan Used,849999.0,500k-1M
Mercedes Benz E200,Mercedes Benz,E200,Automatic,2000.0,2016,8,Kenyan Used,4999999.0,3M-5M
Mitsubishi Outlander,Mitsubishi,Outlander,Automatic,2000.0,2013,11,Kenyan Used,1699999.0,1M-2M
Subaru Xv,Subaru,Xv,Automatic,2000.0,2016,8,Foreign Used,2499999.0,2M-3M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2017,7,Foreign Used,3899999.0,3M-5M
Bmw 118I,Bmw,118I,Automatic,1500.0,2016,8,Kenyan Used,1899999.0,1M-2M
Volvo Xc60,Volvo,Xc60,Automatic,2000.0,2019,5,Foreign Used,5949999.0,5M-10M
Toyota Aqua,Toyota,Aqua,Automatic,1500.0,2017,7,Foreign Used,1549999.0,1M-2M
Mercedes Benz Gle 350D,Mercedes Benz,Gle 350D,Automatic,3000.0,2017,7,Foreign Used,11499999.0,Above 10
Toyota Axio,Toyota,Axio,Automatic,1500.0,2016,8,Kenyan Used,1599999.0,1M-2M
