Vehicle,Manufacturer,Model,Transmission Type,CC,Year,Car Age,Usage Origin,Price,Price Range
Volkswagen Tiguan,Volkswagen,Tiguan,Automatic,1400.0,2014,10,Kenyan Used,2249999.0,2M-3M
Audi Q3 2.0T Quattro S-Line,Audi,Q3 2.0T Quattro S-Line,Automatic,2000.0,2016,8,Kenyan Used,3149999.0,3M-5M
Volkswagen Golf Tsi 1.2L,Volkswagen,Golf Tsi 1.2L,Automatic,1200.0,2015,9,Kenyan Used,1699999.0,1M-2M
Volkswagen Golf 2.0L Fsi,Volkswagen,Golf 2.0L Fsi,Automatic,2000.0,2003,21,Kenyan Used,599999.0,500k-1M
Volkswagen Golf Variant 1.4L Tsi,Volkswagen,Golf Variant 1.4L Tsi,Automatic,1400.0,2016,8,Foreign Used,1999999.0,1M-2M
Mazda Cx-5 2.5L,Mazda,Cx-5 2.5L,Automatic,2500.0,2017,7,Foreign Used,3699999.0,3M-5M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2017,7,Foreign Used,3249999.0,3M-5M
Volkswagen Passat Variant 1.4L,Volkswagen,Passat Variant 1.4L,Automatic,1400.0,2016,8,Foreign Used,2199999.0,2M-3M
Toyota Wish,Toyota,Wish,Automatic,1800.0,2016,8,Foreign Used,2499999.0,2M-3M
Porsche Cayenne 3.0L V6,Porsche,Cayenne 3.0L V6,Automatic,3000.0,2013,11,Kenyan Used,3949999.0,3M-5M
Mitsubishi Galant Gdi,Mitsubishi,Galant Gdi,Automatic,2000.0,1998,26,Kenyan Used,275000.0,0-500k
Toyota Crown Athlete / Sunroof,Toyota,Crown Athlete / Sunroof,Automatic,2500.0,2013,11,Kenyan Used,1849999.0,1M-2M
Nissan Bluebird,Nissan,Bluebird,Automatic,2000.0,2009,15,Kenyan Used,749999.0,500k-1M
Land Rover Discovery Iv / 3-Zone Sunroof,Land Rover,Discovery Iv / 3-Zone Sunroof,Automatic,3000.0,2015,9,Kenyan Used,5499999.0,5M-10M
Toyota Camry,Toyota,Camry,Automatic,2500.0,2014,10,Kenyan Used,1699999.0,1M-2M
Audi A6 Quattro C7.5,Audi,A6 Quattro C7.5,Automatic,2000.0,2016,8,Foreign Used,3299999.0,3M-5M
Audi A5 2.0T Quattro S-Line,Audi,A5 2.0T Quattro S-Line,Automatic,2000.0,2016,8,Foreign Used,3549999.0,3M-5M
Peugeot 308 Gt-Line,Peugeot,308 Gt-Line,Automatic,1200.0,2017,7,Foreign Used,1979999.0,1M-2M
Mercedes Benz C200,Mercedes Benz,C200,Automatic,1800.0,2010,14,Kenyan Used,1549999.0,1M-2M
Mazda Demio 1.5L,Mazda,Demio 1.5L,Automatic,1500.0,2017,7,Foreign Used,1449999.0,1M-2M
Mazda Axela,Mazda,Axela,Automatic,1500.0,2014,10,Kenyan Used,1499999.0,1M-2M
Volvo Xc60 D4 / Pano Sunroof,Volvo,Xc60 D4 / Pano Sunroof,Automatic,2000.0,2019,5,Foreign Used,6499999.0,5M-10M
Mazda Cx-5 2.2D Awd / Sunroof,Mazda,Cx-5 2.2D Awd / Sunroof,Automatic,2200.0,2017,7,Foreign Used,3849999.0,3M-5M
Toyota Corolla G-Touring,Toyota,Corolla G-Touring,Automatic,1600.0,1998,26,Kenyan Used,449999.0,0-500k
Toyota Passo,Toyota,Passo,Automatic,1000.0,2016,8,Foreign Used,1149999.0,1M-2M
Toyota Landcruiser Prado Gdj150 / Sunroof,Toyota,Landcruiser Prado Gdj150 / Sunroof,Automatic,2800.0,2015,9,Kenyan Used,5499999.0,5M-10M
Bmw  X3 Xdrive 20D M-Sport,Bmw, X3 Xdrive 20D M-Sport,Automatic,2000.0,2016,8,Foreign Used,4149999.0,3M-5M
"Volvo Xc60 T5 ""Inscription"" Awd",Volvo,"Xc60 T5 ""Inscription"" Awd",Automatic,2000.0,2016,8,Foreign Used,4349999.0,3M-5M
Lexus Nx200T,Lexus,Nx200T,Automatic,2000.0,2016,8,Kenyan Used,4999999.0,3M-5M
Mercedes Benz E350 / Sunroof,Mercedes Benz,E350 / Sunroof,Automatic,3500.0,2012,12,Kenyan Used,2949999.0,2M-3M
"Nissan Patrol Nismo ""Y62""  / Sunroof",Nissan,"Patrol Nismo ""Y62""  / Sunroof",Automatic,5600.0,2016,8,Kenyan Used,8599999.0,5M-10M
Range Rover Sport Autobiography 5.0L V8 Supercharged / Pano Sunroof,Range Rover,Sport Autobiography 5.0L V8 Supercharged / Pano Sunroof,Automatic,5000.0,2013,11,Kenyan Used,7999999.0,5M-10M
Land Rover Defender 110,Land Rover,Defender 110,Manual,2500.0,2011,13,Kenyan Used,4099999.0,3M-5M
Peugeot 2008 / Moonroof,Peugeot,2008 / Moonroof,Automatic,1200.0,2017,7,Foreign Used,2099999.0,2M-3M
Peugeot 508 / Moonroof,Peugeot,508 / Moonroof,Automatic,1600.0,2017,7,Foreign Used,2479999.0,2M-3M
Volvo Xc60 D4 / Sunroof,Volvo,Xc60 D4 / Sunroof,Automatic,2000.0,2016,8,Foreign Used,3849999.0,3M-5M
Toyota Succeed,Toyota,Succeed,Automatic,1500.0,2016,8,Foreign Used,1299999.0,1M-2M
Mazda Demio 1.3L,Mazda,Demio 1.3L,Automatic,1300.0,2012,12,Kenyan Used,479999.0,0-500k
Mazda Demio 1.3L,Mazda,Demio 1.3L,Automatic,1300.0,2017,7,Foreign Used,1299999.0,1M-2M
Audi Sq5 3.0L (Tfsi) Quattro,Audi,Sq5 3.0L (Tfsi) Quattro,Automatic,3000.0,2017,7,Foreign Used,6899999.0,5M-10M
Nissan Patrol Le 'Y62'  5.6L V8 / Sunroof,Nissan,Patrol Le 'Y62'  5.6L V8 / Sunroof,Automatic,5600.0,2016,8,Foreign Used,8499999.0,5M-10M
Toyota Landcruiser 4.5L V8,Toyota,Landcruiser 4.5L V8,Automatic,4500.0,2014,10,Foreign Used,8499999.0,5M-10M
Volkswagen Golf 1.2L Tsi,Volkswagen,Golf 1.2L Tsi,Automatic,1200.0,2011,13,Kenyan Used,769999.0,500k-1M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2016,8,Foreign Used,2649999.0,2M-3M
Lexus Rx450H / Sunroof,Lexus,Rx450H / Sunroof,Automatic,3500.0,2016,8,Foreign Used,7199999.0,5M-10M
"Volvo Xc60 T5 ""Inscription"" Awd",Volvo,"Xc60 T5 ""Inscription"" Awd",Automatic,2000.0,2018,6,Foreign Used,5799999.0,5M-10M
Toyota Passo,Toyota,Passo,Automatic,1000.0,2010,14,Kenyan Used,575000.0,500k-1M
Ford Escape Xlt,Ford,Escape Xlt,Automatic,3000.0,2006,18,Kenyan Used,749999.0,500k-1M
Volkswagen Golf Variant 1.4L Tsi,Volkswagen,Golf Variant 1.4L Tsi,Automatic,1400.0,2013,11,Kenyan Used,1149999.0,1M-2M
Nissan Nv200,Nissan,Nv200,Automatic,1500.0,2016,8,Foreign Used,1849999.0,1M-2M
Suzuki Jimny 'Land Venture',Suzuki,Jimny 'Land Venture',Automatic,660.0,2016,8,Foreign Used,1549999.0,1M-2M
Audi A3,Audi,A3,Automatic,1400.0,2016,8,Foreign Used,2349999.0,2M-3M
Toyota Rush,Toyota,Rush,Automatic,1500.0,2009,15,Kenyan Used,1149999.0,1M-2M
Bmw 320D 'F30',Bmw,320D 'F30',Automatic,2000.0,2014,10,Kenyan Used,2449999.0,2M-3M
Lexus Rx350 / Sunroof,Lexus,Rx350 / Sunroof,Automatic,3500.0,2008,16,Kenyan Used,2249999.0,2M-3M
Toyota Avensis T3-X / Manual,Toyota,Avensis T3-X / Manual,Manual,1800.0,2005,19,Kenyan Used,679999.0,500k-1M
Kawasaki Ninja 400Cc,Kawasaki,Ninja 400Cc,Automatic,400.0,2017,7,Foreign Used,999999.0,500k-1M
Toyota Landcruiser Prado Tx J150,Toyota,Landcruiser Prado Tx J150,Automatic,2700.0,2012,12,Kenyan Used,3349999.0,3M-5M
Jeep Cherokee Sport 2.5L,Jeep,Cherokee Sport 2.5L,Automatic,2500.0,2002,22,Kenyan Used,1199999.0,1M-2M
Toyota Fielder Wxb Hybrid,Toyota,Fielder Wxb Hybrid,Automatic,1800.0,2017,7,Foreign Used,2199999.0,2M-3M
Toyota Probox,Toyota,Probox,Automatic,1500.0,2016,8,Foreign Used,1289999.0,1M-2M
Volkswagen Tiguan 1.4Tsi,Volkswagen,Tiguan 1.4Tsi,Automatic,1400.0,2017,7,Foreign Used,3849999.0,3M-5M
Mercedes Benz E350 / Sunroof,Mercedes Benz,E350 / Sunroof,Automatic,3000.0,2015,9,Kenyan Used,3549999.0,3M-5M
"Toyota Landcruiser Prado ""Tx"" J150",Toyota,"Landcruiser Prado ""Tx"" J150",Automatic,2700.0,2014,10,Kenyan Used,4199999.0,3M-5M
Citreon C4 1.6 Bluehdi,Citreon,C4 1.6 Bluehdi,Automatic,1600.0,2017,7,Foreign Used,1699999.0,1M-2M
Porsche Cayenne 3.6L V6 'Platinum Edition' With Sunroof,Porsche,Cayenne 3.6L V6 'Platinum Edition' With Sunroof,Automatic,3600.0,2015,9,Kenyan Used,6499999.0,5M-10M
Volvo S60 T3,Volvo,S60 T3,Automatic,1600.0,2017,7,Foreign Used,2399999.0,2M-3M
Honda Legend 3.5L V6 Hybrid,Honda,Legend 3.5L V6 Hybrid,Automatic,3500.0,2016,8,Foreign Used,3549999.0,3M-5M
Subaru Wrx S4,Subaru,Wrx S4,Automatic,2000.0,2015,9,Kenyan Used,2149999.0,2M-3M
Hyundai Santa Fe 2.2L Diesel / Panoramic Sunroof,Hyundai,Santa Fe 2.2L Diesel / Panoramic Sunroof,Automatic,2200.0,2015,9,Kenyan Used,3299999.0,3M-5M
Ford Ecosport Titanium,Ford,Ecosport Titanium,Automatic,1500.0,2017,7,Kenyan Used,1749999.0,1M-2M
Ford Ranger Limited 2.2L,Ford,Ranger Limited 2.2L,Automatic,2200.0,2016,8,Foreign Used,5699999.0,5M-10M
Mazda Premacy 2.2L Diesel,Mazda,Premacy 2.2L Diesel,Automatic,2200.0,2012,12,Kenyan Used,1099999.0,1M-2M
Toyota Landcruiser Gxr 4.5L V8 / Manual,Toyota,Landcruiser Gxr 4.5L V8 / Manual,Automatic,4500.0,2016,8,Kenyan Used,8199999.0,5M-10M
Audi A4 2.0T Quattro,Audi,A4 2.0T Quattro,Automatic,2000.0,2014,10,Kenyan Used,2299999.0,2M-3M
Audi Q7 3.0L Tdi,Audi,Q7 3.0L Tdi,Automatic,3000.0,2007,17,Kenyan Used,2199999.0,2M-3M
Toyota Rush 4Wd,Toyota,Rush 4Wd,Automatic,1500.0,2013,11,Kenyan Used,1199999.0,1M-2M
Toyota Rav4 2.5 Hybrid,Toyota,Rav4 2.5 Hybrid,Automatic,2500.0,2021,3,Foreign Used,5799999.0,5M-10M
Peugeot 208,Peugeot,208,Automatic,1200.0,2017,7,Foreign Used,1399999.0,1M-2M
Toyota Esquire,Toyota,Esquire,Automatic,2000.0,2016,8,Foreign Used,2599999.0,2M-3M
Nissan Xtrail Mode-Premier Autech,Nissan,Xtrail Mode-Premier Autech,Automatic,2000.0,2016,8,Foreign Used,2399999.0,2M-3M
Audi Sq5 3.0T V6 Quattro,Audi,Sq5 3.0T V6 Quattro,Automatic,3000.0,2018,6,Foreign Used,7499999.0,5M-10M
Peugeot 308 Gt '2.0L Diesel',Peugeot,308 Gt '2.0L Diesel',Automatic,2000.0,2017,7,Foreign Used,2449999.0,2M-3M
Peugeot 2008,Peugeot,2008,Automatic,1200.0,2016,8,Foreign Used,1999999.0,1M-2M
Mercedes Benz Gle 350D Coupe / Sunroof,Mercedes Benz,Gle 350D Coupe / Sunroof,Automatic,3000.0,2016,8,Foreign Used,9999999.0,5M-10M
Subaru Levorg 1.6L,Subaru,Levorg 1.6L,Automatic,1600.0,2015,9,Kenyan Used,1699999.0,1M-2M
Toyota Harrier,Toyota,Harrier,Automatic,2000.0,2016,8,Foreign Used,3749999.0,3M-5M
Mazda Cx-5 2.5L,Mazda,Cx-5 2.5L,Automatic,2500.0,2016,8,Foreign Used,2849999.0,2M-3M
Ford Escape Limited/ Sunroof,Ford,Escape Limited/ Sunroof,Automatic,2300.0,2012,12,Kenyan Used,1599999.0,1M-2M
"Mazda Cx-5 ""2.0L Na""",Mazda,"Cx-5 ""2.0L Na""",Automatic,2000.0,2018,6,Foreign Used,3699999.0,3M-5M
Jeep Wrangler Unlimited Sport / 4Wd Winch,Jeep,Wrangler Unlimited Sport / 4Wd Winch,Automatic,3600.0,2016,8,Foreign Used,6799999.0,5M-10M
Mercedes Benz C250,Mercedes Benz,C250,Automatic,2000.0,2015,9,Kenyan Used,3799999.0,3M-5M
Toyota Wish,Toyota,Wish,Automatic,1800.0,2015,9,Kenyan Used,1489999.0,1M-2M
"Nissan Xtrail ""Hnt32"" / Sunroof",Nissan,"Xtrail ""Hnt32"" / Sunroof",Automatic,2000.0,2017,7,Foreign Used,2579999.0,2M-3M
Land Rover Discovery Iv / 3-Zone Sunroofs,Land Rover,Discovery Iv / 3-Zone Sunroofs,Automatic,3000.0,2012,12,Kenyan Used,3999999.0,3M-5M
Toyota Landcruiser Vx-R,Toyota,Landcruiser Vx-R,Automatic,4500.0,2014,10,Kenyan Used,7899999.0,5M-10M
Volkswagen Passat,Volkswagen,Passat,Automatic,1800.0,2011,13,Kenyan Used,1149999.0,1M-2M
Mazda Cx-3 1.5D,Mazda,Cx-3 1.5D,Automatic,1500.0,2016,8,Foreign Used,2099999.0,2M-3M
Audi Sq5 3.0T V6 Quattro/Panoramic Sunroof,Audi,Sq5 3.0T V6 Quattro/Panoramic Sunroof,Automatic,3000.0,2016,8,Foreign Used,5599999.0,5M-10M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2016,8,Foreign Used,1349999.0,1M-2M
Dodge Charger 3.6L V6,Dodge,Charger 3.6L V6,Automatic,3600.0,2014,10,Kenyan Used,6499999.0,5M-10M
Nissan Note,Nissan,Note,Automatic,1200.0,2016,8,Foreign Used,1119999.0,1M-2M
Toyota Landcruiser Prado Tx/Sunroof,Toyota,Landcruiser Prado Tx/Sunroof,Automatic,2700.0,2012,12,Kenyan Used,3349999.0,3M-5M
Toyota Porte,Toyota,Porte,Automatic,1300.0,2016,8,Kenyan Used,1199999.0,1M-2M
Mercedes Benz G350D With 'Brabus Bodykit',Mercedes Benz,G350D With 'Brabus Bodykit',Automatic,3000.0,2014,10,Kenyan Used,13999999.0,Above 10
Subaru Forester 2.0 Non-Turbo,Subaru,Forester 2.0 Non-Turbo,Automatic,2000.0,2014,10,Kenyan Used,2549999.0,2M-3M
Land Rover Discovery Iv 'Xs Spec',Land Rover,Discovery Iv 'Xs Spec',Automatic,3000.0,2011,13,Kenyan Used,3449999.0,3M-5M
Audi Q5 2.0T,Audi,Q5 2.0T,Automatic,2000.0,2017,7,Foreign Used,4849999.0,3M-5M
Toyota Auris,Toyota,Auris,Automatic,1500.0,2016,8,Foreign Used,1799999.0,1M-2M
Jeep Wrangler Unlimited Sahara,Jeep,Wrangler Unlimited Sahara,Automatic,3600.0,2012,12,Kenyan Used,2999999.0,2M-3M
Nissan Serena,Nissan,Serena,Automatic,2000.0,2018,6,Kenyan Used,1949999.0,1M-2M
Toyota Porte,Toyota,Porte,Automatic,1300.0,2014,10,Kenyan Used,849999.0,500k-1M
Nissan Note Dig-S,Nissan,Note Dig-S,Automatic,1200.0,2016,8,Foreign Used,1099999.0,1M-2M
Nissan Wingroad,Nissan,Wingroad,Automatic,1500.0,2007,17,Kenyan Used,465000.0,0-500k
Mazda Cx-5 2.2D Awd,Mazda,Cx-5 2.2D Awd,Automatic,2200.0,2017,7,Foreign Used,3199999.0,3M-5M
Peugeot 208,Peugeot,208,Automatic,1200.0,2018,6,Foreign Used,1419999.0,1M-2M
Toyota Prius 'Hybrid Synergy',Toyota,Prius 'Hybrid Synergy',Automatic,1800.0,2010,14,Kenyan Used,859999.0,500k-1M
Nissan Dayz,Nissan,Dayz,Automatic,660.0,2016,8,Foreign Used,849999.0,500k-1M
Nissan Dayz,Nissan,Dayz,Automatic,660.0,2016,8,Foreign Used,799999.0,500k-1M
Jeep Grand Cherokee 3.6 Limited 4×4 / Panoramic Sunroof,Jeep,Grand Cherokee 3.6 Limited 4×4 / Panoramic Sunroof,Automatic,3600.0,2017,7,Foreign Used,5999999.0,5M-10M
Subaru Legacy B4,Subaru,Legacy B4,Automatic,2500.0,2016,8,Foreign Used,2249999.0,2M-3M
Mitsubishi Rvr,Mitsubishi,Rvr,Automatic,1800.0,2011,13,Kenyan Used,1299999.0,1M-2M
Bmw X6 Xdrive M50D 'N57' Tri-Turbo,Bmw,X6 Xdrive M50D 'N57' Tri-Turbo,Automatic,3000.0,2013,11,Kenyan Used,3499999.0,3M-5M
Subaru Legacy,Subaru,Legacy,Automatic,2500.0,2010,14,Kenyan Used,1049999.0,1M-2M
Bmw X3 Xdrive 25I,Bmw,X3 Xdrive 25I,Automatic,2500.0,2010,14,Kenyan Used,1799999.0,1M-2M
"Toyota Fielder ""S"" Aerotourer",Toyota,"Fielder ""S"" Aerotourer",Automatic,1800.0,2012,12,Kenyan Used,1349999.0,1M-2M
Renault Kadjar,Renault,Kadjar,Automatic,1200.0,2016,8,Kenyan Used,2499999.0,2M-3M
Nissan Sunny B15,Nissan,Sunny B15,Automatic,1500.0,2004,20,Kenyan Used,355000.0,0-500k
Porsche Cayenne 3.0 V6 'Typ 92A',Porsche,Cayenne 3.0 V6 'Typ 92A',Automatic,3000.0,2016,8,Foreign Used,6999999.0,5M-10M
Volvo V40 T5 R-Design,Volvo,V40 T5 R-Design,Automatic,2500.0,2017,7,Foreign Used,2699999.0,2M-3M
Volkswagen Golf Gti Mk7.5 / Sunroof,Volkswagen,Golf Gti Mk7.5 / Sunroof,Automatic,2000.0,2018,6,Foreign Used,3699999.0,3M-5M
Volkswagen Golf Gti Mk7 / Sunroof,Volkswagen,Golf Gti Mk7 / Sunroof,Automatic,2000.0,2017,7,Foreign Used,3249999.0,3M-5M
Audi A4 B9 Quattro Allroad Spec,Audi,A4 B9 Quattro Allroad Spec,Automatic,2000.0,2017,7,Foreign Used,4499999.0,3M-5M
Toyota Fielder X G-Edition,Toyota,Fielder X G-Edition,Automatic,1500.0,2008,16,Kenyan Used,829999.0,500k-1M
Volkswagen Up!,Volkswagen,Up!,Automatic,1000.0,2016,8,Foreign Used,1599999.0,1M-2M
Audi A5,Audi,A5,Automatic,2000.0,2013,11,Kenyan Used,2299999.0,2M-3M
Volkswagen Golf Gti,Volkswagen,Golf Gti,Automatic,2000.0,2015,9,Kenyan Used,2449999.0,2M-3M
Volvo V60 D4 R-Design,Volvo,V60 D4 R-Design,Automatic,2000.0,2016,8,Foreign Used,2599999.0,2M-3M
Toyota Celica,Toyota,Celica,Manual,1800.0,1999,25,Kenyan Used,865000.0,500k-1M
Mercedes Benz C200 /Sunroof,Mercedes Benz,C200 /Sunroof,Automatic,2000.0,2017,7,Foreign Used,4699999.0,3M-5M
Toyota Probox,Toyota,Probox,Automatic,1500.0,2015,9,Kenyan Used,1119999.0,1M-2M
Mercedes Benz E250,Mercedes Benz,E250,Automatic,2000.0,2014,10,Kenyan Used,2999999.0,2M-3M
Toyota Mark X,Toyota,Mark X,Automatic,2500.0,2010,14,Kenyan Used,1299999.0,1M-2M
Toyota Vitz,Toyota,Vitz,Automatic,1300.0,2015,9,Foreign Used,1449999.0,1M-2M
Nissan Note,Nissan,Note,Automatic,1200.0,2011,13,Kenyan Used,719999.0,500k-1M
Nissan Note Medalist,Nissan,Note Medalist,Automatic,1200.0,2016,8,Foreign Used,1299999.0,1M-2M
Subaru Forester,Subaru,Forester,Automatic,2000.0,2016,8,Foreign Used,3649999.0,3M-5M
Renault Duster,Renault,Duster,Automatic,1600.0,2017,7,Kenyan Used,1449999.0,1M-2M
Lexus Nx200T/Sunroof,Lexus,Nx200T/Sunroof,Automatic,2000.0,2015,9,Foreign Used,5149999.0,5M-10M
Toyota Landcruiser Prado J120,Toyota,Landcruiser Prado J120,Automatic,3000.0,2005,19,Kenyan Used,1799999.0,1M-2M
Mercedes Benz Glc 250,Mercedes Benz,Glc 250,Automatic,2000.0,2016,8,Foreign Used,6349999.0,5M-10M
Subaru Forester 2.0 Na,Subaru,Forester 2.0 Na,Automatic,2000.0,2016,8,Foreign Used,3249999.0,3M-5M
Volvo Xc60 D4 'Classic' /Sunroof,Volvo,Xc60 D4 'Classic' /Sunroof,Automatic,2000.0,2016,8,Foreign Used,3749999.0,3M-5M
Range Rover Sport 3.0L Sdv6 / Pano Sunroof,Range Rover,Sport 3.0L Sdv6 / Pano Sunroof,Automatic,3000.0,2016,8,Foreign Used,9699999.0,5M-10M
Toyota Probox,Toyota,Probox,Automatic,1500.0,2016,8,Foreign Used,1149999.0,1M-2M
Citroën Ds4 1.6 Turbo,Citroën,Ds4 1.6 Turbo,Automatic,1600.0,2017,7,Foreign Used,2149999.0,2M-3M
Audi A5,Audi,A5,Automatic,2000.0,2016,8,Foreign Used,3349999.0,3M-5M
"Bmw 740I ""G11"" Pure Excellence",Bmw,"740I ""G11"" Pure Excellence",Automatic,3000.0,2017,7,Foreign Used,7799999.0,5M-10M
Peugeot 2008 Gt-Line,Peugeot,2008 Gt-Line,Automatic,1200.0,2017,7,Foreign Used,1999999.0,1M-2M
Audi A3,Audi,A3,Automatic,1400.0,2016,8,Foreign Used,2599999.0,2M-3M
Toyota Landcruiser Prado Tx,Toyota,Landcruiser Prado Tx,Automatic,2700.0,2009,15,Kenyan Used,2899999.0,2M-3M
Nissan Note E-Power,Nissan,Note E-Power,Automatic,1200.0,2017,7,Foreign Used,1149999.0,1M-2M
Range Rover Vogue 3.0L Tdv6 Hse,Range Rover,Vogue 3.0L Tdv6 Hse,Automatic,3000.0,2013,11,Kenyan Used,8849999.0,5M-10M
Mercedes Benz Ml350 / Panoramic Sunroof,Mercedes Benz,Ml350 / Panoramic Sunroof,Automatic,3000.0,2014,10,Kenyan Used,5649999.0,5M-10M
Audi A5,Audi,A5,Automatic,2000.0,2016,8,Foreign Used,3599999.0,3M-5M
Volkswagen Tiguan 1.4Tsi,Volkswagen,Tiguan 1.4Tsi,Automatic,1400.0,2016,8,Kenyan Used,2899999.0,2M-3M
Mitsubishi Canter,Mitsubishi,Canter,Automatic,3000.0,2014,10,Kenyan Used,2149999.0,2M-3M
Mazda Mpv,Mazda,Mpv,Automatic,2300.0,2013,11,Kenyan Used,1049999.0,1M-2M
Jeep Grand Cherokee 3.6 Limited / Panoramic Sunroof,Jeep,Grand Cherokee 3.6 Limited / Panoramic Sunroof,Automatic,3600.0,2014,10,Kenyan Used,3849999.0,3M-5M
Audi A1,Audi,A1,Automatic,1000.0,2015,9,Foreign Used,1749999.0,1M-2M
Mercedes Benz Ml250,Mercedes Benz,Ml250,Automatic,2100.0,2014,10,Kenyan Used,4899999.0,3M-5M
Toyota Belta,Toyota,Belta,Automatic,1300.0,2012,12,Kenyan Used,799999.0,500k-1M
Mazda Atenza 2.5L,Mazda,Atenza 2.5L,Automatic,2500.0,2016,8,Foreign Used,2499999.0,2M-3M
Ford Ranger 3.2L,Ford,Ranger 3.2L,Automatic,3200.0,2013,11,Kenyan Used,2899999.0,2M-3M
Nissan Dayz,Nissan,Dayz,Automatic,660.0,2016,8,Foreign Used,869999.0,500k-1M
Audi Q3 2.0L Quattro,Audi,Q3 2.0L Quattro,Automatic,2000.0,2016,8,Foreign Used,3699999.0,3M-5M
Nissan Nv200,Nissan,Nv200,Automatic,1500.0,2016,8,Kenyan Used,1199999.0,1M-2M
Toyota Harrier 'Elegance',Toyota,Harrier 'Elegance',Automatic,2000.0,2017,7,Foreign Used,3299999.0,3M-5M
Volkswagen Golf Tsi 1.2L,Volkswagen,Golf Tsi 1.2L,Automatic,1200.0,2012,12,Kenyan Used,949999.0,500k-1M
Honda Fit Shuttle Hybrid,Honda,Fit Shuttle Hybrid,Automatic,1500.0,2017,7,Foreign Used,1789999.0,1M-2M
Renault Lutecia,Renault,Lutecia,Automatic,1200.0,2016,8,Foreign Used,1399999.0,1M-2M
Subaru Legacy,Subaru,Legacy,Automatic,2500.0,2011,13,Kenyan Used,1349999.0,1M-2M
Volvo S60 T3,Volvo,S60 T3,Automatic,1500.0,2017,7,Foreign Used,2449999.0,2M-3M
Bmw X4 Xdrive 28I 'Blackout Edition' / Sunroof,Bmw,X4 Xdrive 28I 'Blackout Edition' / Sunroof,Automatic,2000.0,2017,7,Foreign Used,5349999.0,5M-10M
Audi A5,Audi,A5,Automatic,2000.0,2017,7,Foreign Used,4599999.0,3M-5M
Audi A7 2.0T Sportback Quattro,Audi,A7 2.0T Sportback Quattro,Automatic,2000.0,2017,7,Foreign Used,4749999.0,3M-5M
Audi Q5 2.0T S-Line Quattro,Audi,Q5 2.0T S-Line Quattro,Automatic,2000.0,2017,7,Foreign Used,5199999.0,5M-10M
"Bmw X4 ""F26"" Xdrive 28I M-Sport",Bmw,"X4 ""F26"" Xdrive 28I M-Sport",Automatic,2000.0,2017,7,Foreign Used,5199999.0,5M-10M
Isuzu Trooper / Manual,Isuzu,Trooper / Manual,Manual,2800.0,1989,35,Kenyan Used,919999.0,500k-1M
Nissan Note,Nissan,Note,Automatic,1200.0,2016,8,Foreign Used,1129999.0,1M-2M
Bmw X3 Xdrive 20D M-Sport,Bmw,X3 Xdrive 20D M-Sport,Automatic,2000.0,2016,8,Foreign Used,3449999.0,3M-5M
Audi Q5 2.0T Quattro S-Line 'Typ 80A',Audi,Q5 2.0T Quattro S-Line 'Typ 80A',Automatic,2000.0,2017,7,Foreign Used,5349999.0,5M-10M
Volkswagen Golf Tsi 1.2L,Volkswagen,Golf Tsi 1.2L,Automatic,1200.0,2016,8,Kenyan Used,1649999.0,1M-2M
Mazda Demio 1.5L,Mazda,Demio 1.5L,Automatic,1500.0,2016,8,Foreign Used,1329999.0,1M-2M
Nissan Note,Nissan,Note,Automatic,1200.0,2016,8,Foreign Used,1029999.0,1M-2M
Mazda Cx-5 2.2D,Mazda,Cx-5 2.2D,Automatic,2200.0,2016,8,Kenyan Used,2449999.0,2M-3M
Toyota Fielder Hybrid,Toyota,Fielder Hybrid,Automatic,1500.0,2016,8,Foreign Used,1799999.0,1M-2M
Mercedes Benz C180 Kompressor,Mercedes Benz,C180 Kompressor,Automatic,1600.0,2009,15,Kenyan Used,1399999.0,1M-2M
Suzuki S Cross S×4,Suzuki,S Cross S×4,Automatic,1600.0,2018,6,Foreign Used,2399999.0,2M-3M
Mercedes Benz C200 Cgi 'Avantgarde',Mercedes Benz,C200 Cgi 'Avantgarde',Automatic,1800.0,2010,14,Kenyan Used,1599999.0,1M-2M
Toyota Landcruiser Prado Tx-L Gdj150 / 7 Seats / Sunroof,Toyota,Landcruiser Prado Tx-L Gdj150 / 7 Seats / Sunroof,Automatic,2800.0,2018,6,Foreign Used,8399999.0,5M-10M
Mazda Cx-5 2.5L Awd,Mazda,Cx-5 2.5L Awd,Automatic,2500.0,2017,7,Foreign Used,3449999.0,3M-5M
"Subaru Levorg 1.6L Turbo ""Vm"" Advanced Package",Subaru,"Levorg 1.6L Turbo ""Vm"" Advanced Package",Automatic,1600.0,2016,8,Foreign Used,2149999.0,2M-3M
Mercedes Benz C200 / Panoramic Sunroof,Mercedes Benz,C200 / Panoramic Sunroof,Automatic,2000.0,2016,8,Kenyan Used,4549999.0,3M-5M
Volkswagen Passat 1.4 Tsi,Volkswagen,Passat 1.4 Tsi,Automatic,1400.0,2011,13,Kenyan Used,1349999.0,1M-2M
Toyota Noah,Toyota,Noah,Automatic,2000.0,2016,8,Foreign Used,2549999.0,2M-3M
